name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"lagos,nigeria",25 09 2020,30.1,23.6,26.4,35.1,23.6,27.9,23.3,83.8,0.2,100,8.33,rain,0,0,27.7,14.8,257.1,1014,65.9,9.7,230.3,19.8,8,,2020-09-25T06:35:06,2020-09-25T18:40:47,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",26 09 2020,26.5,21,24.8,26.5,21,24.8,23,90.2,2.3,100,45.83,rain,0,0,42.5,31.7,272.5,1012.4,79,8.8,138,11.6,5,,2020-09-26T06:34:56,2020-09-26T18:40:16,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
"lagos,nigeria",27 09 2020,29,22,25.5,33.6,22,26.7,23.2,87.6,1,100,4.17,rain,0,0,24.8,18.3,251.6,1011.7,77.7,9.1,128.4,11.1,5,,2020-09-27T06:34:47,2020-09-27T18:39:45,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,remote,65201099999"
"lagos,nigeria",28 09 2020,30,23.8,26.5,36.2,23.8,28.4,24,86.2,0.7,100,12.5,rain,0,0,33.1,16.9,247.4,1012.2,71.8,9.8,219.1,19,9,,2020-09-28T06:34:37,2020-09-28T18:39:14,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",29 09 2020,30.2,22,26.3,36,22,27.9,23.4,84.4,1.1,100,25,rain,0,0,31,29.5,238.2,1013.3,68,10.8,145.3,12.7,5,,2020-09-29T06:34:27,2020-09-29T18:38:44,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",30 09 2020,28.1,22,25.4,31.8,22,25.7,23.6,89.8,8,100,8.33,rain,0,0,30.2,18.4,248.2,1012.8,75.3,10.4,110.9,9.5,4,,2020-09-30T06:34:18,2020-09-30T18:38:14,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",1 10 2020,30.5,21,26.2,35.6,21,27.9,23.4,85.3,0.3,100,8.33,rain,0,0,34.2,24.1,230,1012,63.2,10.3,198.2,17.3,7,,2020-10-01T06:34:09,2020-10-01T18:37:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",2 10 2020,30.8,24,26.9,37.5,24,29.1,24,84.3,0.3,100,12.5,rain,0,0,29.2,48.2,232.7,1011.6,67.7,11.6,214.2,18.5,8,,2020-10-02T06:34:01,2020-10-02T18:37:14,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",3 10 2020,29,24.4,26.4,34.3,24.4,28,24,86.6,2.7,100,50,rain,0,0,22.3,43.2,240.9,1011.4,84.1,10.3,125.3,10.9,5,,2020-10-03T06:33:52,2020-10-03T18:36:45,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",4 10 2020,30,24.1,26.5,36.3,24.1,27.8,23.8,85.4,1.3,100,41.67,rain,0,0,23,46.8,210.2,1012.3,82.4,11.8,173.5,14.9,7,,2020-10-04T06:33:44,2020-10-04T18:36:16,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
